dt,AverageTemperature
1880-06-01,27.918000000000006
1880-07-01,28.621
1880-08-01,28.436
1880-09-01,28.204
1880-10-01,27.356
1880-11-01,27.109
1880-12-01,24.660999999999998
1881-01-01,24.94
1881-02-01,24.355999999999998
1881-03-01,24.396
1881-04-01,25.189
1881-05-01,27.229
1881-06-01,28.64
1881-07-01,29.004
1881-08-01,28.618000000000002
1881-09-01,28.076999999999998
1881-10-01,27.031
1881-11-01,26.572
1881-12-01,25.179
1882-01-01,24.733
1882-02-01,24.711
1882-03-01,25.167
1882-04-01,26.217
1882-05-01,27.158
1882-06-01,28.624
1882-07-01,28.522
1882-08-01,28.644000000000002
1882-09-01,28.361
1882-10-01,27.284
1882-11-01,25.486
1882-12-01,24.728
1883-01-01,25.070999999999998
1883-02-01,25.576
1883-03-01,24.631
1883-04-01,26.837
1883-05-01,27.207
1883-06-01,28.488000000000003
1883-07-01,28.513
1883-08-01,28.599
1883-09-01,28.242
1883-10-01,27.522
1883-11-01,26.291
1883-12-01,24.725
1884-01-01,23.461
1884-02-01,24.377
1884-03-01,25.113000000000003
1884-04-01,25.907
1884-05-01,26.901
1884-06-01,27.41
1884-07-01,28.556
1884-08-01,28.19100000000001
1884-09-01,27.784
1884-10-01,26.606
1884-11-01,26.173000000000002
1884-12-01,25.5
1885-01-01,24.701999999999998
1885-02-01,23.539
1885-03-01,24.379
1885-04-01,25.56600000000001
1885-05-01,27.1
1885-06-01,27.948
1885-07-01,28.699
1885-08-01,28.55
1885-09-01,28.08
1885-10-01,26.672
1885-11-01,25.628
1885-12-01,23.480999999999998
1886-01-01,22.304
1886-02-01,23.253
1886-03-01,25.087
1886-04-01,25.167
1886-05-01,26.867
1886-06-01,28.02
1886-07-01,28.385
1886-08-01,28.391
1886-09-01,27.901
1886-10-01,26.636
1886-11-01,25.705
1886-12-01,23.819000000000006
1887-01-01,22.973000000000006
1887-02-01,24.755
1887-03-01,23.929000000000002
1887-04-01,25.489
1887-05-01,26.656
1887-06-01,26.992
1887-07-01,28.249
1887-08-01,28.318
1887-09-01,27.931
1887-10-01,26.594
1887-11-01,25.382
1887-12-01,24.592
1888-01-01,23.97
1888-02-01,24.171
1888-03-01,24.32800000000001
1888-04-01,25.153000000000002
1888-05-01,26.323
1888-06-01,27.422
1888-07-01,28.328000000000007
1888-08-01,28.51400000000001
1888-09-01,27.844
1888-10-01,27.124
1888-11-01,26.07
1888-12-01,24.266
1889-01-01,24.77
1889-02-01,24.416
1889-03-01,24.485
1889-04-01,25.963
1889-05-01,26.991
